name,description,roles,is_active,id,created_date,updated_date,created_by_id,created_by,is_sample
"Career Mentoring Task Group","","[""Chair"",""Co-Chair"",""Member""]","true","691f3434da8e22acea02f895","2025-11-20T15:31:00.976000","2025-11-23T07:30:16.541000","68efc2103e0a30fafad6dde8","mat.the.diver@googlemail.com","false"
"Creative Industries Task Group","","[""Chair"",""Co-Chair"",""Member""]","true","691f353c5242f1e6d763ad68","2025-11-20T15:35:24.456000","2025-11-23T07:30:16.550000","68efc2103e0a30fafad6dde8","mat.the.diver@googlemail.com","false"
"Teaching and Related Professions Task Group","","[""Chair"",""Co-Chair"",""Member""]","true","691f353c607144b08f79bc24","2025-11-20T15:35:24.459000","2025-11-23T07:30:16.562000","68efc2103e0a30fafad6dde8","mat.the.diver@googlemail.com","false"
"Health and Related Professions Task Group","","[""Chair"",""Co-Chair"",""Member""]","true","691f353c4dfac284c855b4ee","2025-11-20T15:35:24.458000","2025-11-23T07:30:16.585000","68efc2103e0a30fafad6dde8","mat.the.diver@googlemail.com","false"
"Disability Task Group","","[""Chair"",""Co-Chair"",""Member""]","true","691f353c2248c1c49770dbf9","2025-11-20T15:35:24.463000","2025-11-23T07:30:17.022000","68efc2103e0a30fafad6dde8","mat.the.diver@googlemail.com","false"
"Enterprise and Entrepreneurship Task Group","","[""Chair"",""Co-Chair"",""Member""]","true","691f353c68d332203cbc94d9","2025-11-20T15:35:24.452000","2025-11-23T07:30:16.627000","68efc2103e0a30fafad6dde8","mat.the.diver@googlemail.com","false"
"Postgraduate Taught Task Group","","[""Chair"",""Co-Chair"",""Member""]","true","691f353c18fe3e6d99014d0c","2025-11-20T15:35:24.469000","2025-11-23T07:30:16.545000","68efc2103e0a30fafad6dde8","mat.the.diver@googlemail.com","false"
"Research Students and Research Staff Task Group","","[""Chair"",""Co-Chair"",""Member""]","true","691f353c3cd1c8ba55d6491c","2025-11-20T15:35:24.467000","2025-11-23T07:30:16.548000","68efc2103e0a30fafad6dde8","mat.the.diver@googlemail.com","false"
"Placement and Work Related Learning Task Group","","[""Chair"",""Co-Chair"",""Member""]","true","691f353c2b3a5bbcaf086e3d","2025-11-20T15:35:24.473000","2025-11-23T07:30:16.618000","68efc2103e0a30fafad6dde8","mat.the.diver@googlemail.com","false"
"Graduate Transitions Task Group","","[""Chair"",""Co-Chair"",""Member""]","true","691f353cdbeb9f6a73abaed8","2025-11-20T15:35:24.472000","2025-11-23T07:30:17.809000","68efc2103e0a30fafad6dde8","mat.the.diver@googlemail.com","false"
"International Task Group","","[""Chair"",""Co-Chair"",""Member""]","true","691f353c5ebaefd8307a7019","2025-11-20T15:35:24.471000","2025-11-23T07:30:16.570000","68efc2103e0a30fafad6dde8","mat.the.diver@googlemail.com","false"
"Legal Profession Task Group","","[""Chair"",""Co-Chair"",""Member""]","true","691f353c66609ee2c2be7e90","2025-11-20T15:35:24.478000","2025-11-23T07:30:16.961000","68efc2103e0a30fafad6dde8","mat.the.diver@googlemail.com","false"
"Student and Graduate Engagement Task Group","","[""Chair"",""Co-Chair"",""Member""]","true","691f353cb2c262a86bcbfc54","2025-11-20T15:35:24.472000","2025-11-23T07:30:16.572000","68efc2103e0a30fafad6dde8","mat.the.diver@googlemail.com","false"
"Skills Awards Task Group","","[""Chair"",""Co-Chair"",""Member""]","true","691f353c47c9c9434b748d15","2025-11-20T15:35:24.471000","2025-11-23T07:30:16.554000","68efc2103e0a30fafad6dde8","mat.the.diver@googlemail.com","false"
"Employer Engagement Task Group","","[""Chair"",""Co-Chair"",""Member""]","true","691f353c900ad6b9ed80e59d","2025-11-20T15:35:24.484000","2025-11-23T07:30:16.630000","68efc2103e0a30fafad6dde8","mat.the.diver@googlemail.com","false"
"Psychometric Assessment Task Group","","[""Chair"",""Co-Chair"",""Member""]","true","691f353cb1ed3504136e4732","2025-11-20T15:35:24.486000","2025-11-23T07:30:16.959000","68efc2103e0a30fafad6dde8","mat.the.diver@googlemail.com","false"
"Community Committee","","[""Member"",""Char"",""Co-Chair""]","true","6921dd4f4168bfb432cc18d6","2025-11-22T15:57:03.293000","2025-11-23T07:31:43.031000","anonymous","anonymous","false"
"Governance and Risk Committee","","[""Member"",""Char"",""Co-Chair""]","true","6921dd5c52b30b849ab2b868","2025-11-22T15:57:16.886000","2025-11-23T07:31:43.098000","anonymous","anonymous","false"
"Learning Committee","","[""Member"",""Char"",""Co-Chair""]","true","6921dd6307098d257e0233cb","2025-11-22T15:57:23.745000","2025-11-23T07:31:42.993000","anonymous","anonymous","false"
"Nominations and Succession Committee","","[""Member"",""Char"",""Co-Chair""]","true","6921dd6a4d86692a8bcb30ad","2025-11-22T15:57:30.466000","2025-11-23T07:31:43.030000","anonymous","anonymous","false"
"Professional Standards Committee","","[""Member"",""Char"",""Co-Chair""]","true","6921dd707de38a0e1ee324f1","2025-11-22T15:57:36.629000","2025-11-23T07:31:43","anonymous","anonymous","false"
"Remunerations Committee","","[""Member"",""Char"",""Co-Chair""]","true","6921dd766603ba24caf94b4f","2025-11-22T15:57:42.760000","2025-11-23T07:31:43.027000","anonymous","anonymous","false"
"Research and Knowledge Committee","","[""Member"",""Char"",""Co-Chair""]","true","6921dd7ba67fe680a11c3474","2025-11-22T15:57:47.745000","2025-11-23T07:31:43.020000","anonymous","anonymous","false"
"Data Insights Working Party","","[""Member"",""Char"",""Co-Chair""]","true","6921dd81d51a7f8b85834eb8","2025-11-22T15:57:53.705000","2025-11-23T07:31:42.983000","anonymous","anonymous","false"
"Equality, Diversity and Inclusion Working Party","","[""Member"",""Char"",""Co-Chair""]","true","6921dd88260a4996d5ee77ce","2025-11-22T15:58:00.409000","2025-11-23T07:31:42.985000","anonymous","anonymous","false"
"Integrating Employability Working Party","","[""Member"",""Char"",""Co-Chair""]","true","6921dd9054491526eefcd98e","2025-11-22T15:58:08.723000","2025-11-23T07:31:43.021000","anonymous","anonymous","false"
"Social Mobility, Widening Participation, and Regional Inequality Working Party","","[""Member"",""Char"",""Co-Chair""]","true","6921dd98a50572f63edf0d01","2025-11-22T15:58:16.202000","2025-11-23T07:31:42.982000","anonymous","anonymous","false"
