name,description,period_text,level,image_url,is_active,id,created_date,updated_date,created_by_id,created_by,is_sample
"Coach of the year","Awarded by a panel of experts to recognise outstanding commitment to coaching.","Summer 2025","1","https://base44.app/api/apps/68efc20f3e0a30fafad6dde7/files/public/68efc20f3e0a30fafad6dde7/76206ffcc_awardExample2.png","true","69176eb771a897db95709232","2025-11-14T18:02:31.465000","2025-11-14T18:02:31.465000","68efc2103e0a30fafad6dde8","mat.the.diver@googlemail.com","false"
"Phoenix","","August 2025","2","","true","69249c91174cdd801a6a88c1","2025-11-24T17:57:37.508000","2025-11-24T19:34:54.757000","anonymous","anonymous","false"
"Prospects job profiles","","August 2026","3","","true","69249cebed5b8b7cfedef1f9","2025-11-24T17:59:07.051000","2025-11-24T21:08:44.493000","anonymous","anonymous","false"
"Training Course","Introduction to Guidance Interviewing","August 2025","2","","true","6925c0aef668c8555f31e565","2025-11-25T14:43:58.411000","2025-11-25T14:50:04.423000","anonymous","anonymous","false"
"Networking","Linking Lives: Building a connected and supportive EDI network
","August 2025","2","","true","6925f363db8d3200163aff58","2025-11-25T18:20:19.379000","2025-11-25T18:20:19.379000","anonymous","anonymous","false"
"Workshop","Supporting Neurodivergent Learners
","September 2025","3","","true","6925f380ee2d71b1669f4f01","2025-11-25T18:20:48.066000","2025-11-25T18:20:48.066000","anonymous","anonymous","false"
"Workshop","How to Run a High Performing Careers Service
","September 2025","4","","true","6925f3a35092ab935fa9249d","2025-11-25T18:21:23.273000","2025-11-25T18:21:23.273000","anonymous","anonymous","false"
"Workshop","Guiding Students Through Career Anxiety
","September 2025","4","","true","6925f3b8d16ca6f72a6cc61c","2025-11-25T18:21:44.541000","2025-11-25T18:21:44.541000","anonymous","anonymous","false"
"Workshop","International Students and Employer Engagement
","September 2025","5","","true","6925f3ceaddc8149a0abcffe","2025-11-25T18:22:06.839000","2025-11-25T18:22:06.839000","anonymous","anonymous","false"
"Workshop","Employer Engagement Strategy
","September 2025","6","","true","6925f3e47b89e007c9a89b58","2025-11-25T18:22:28.406000","2025-11-25T18:22:28.406000","anonymous","anonymous","false"
"Webinar","Working with International  Students: Back to Basics
","September 2025","7","","true","6925f406bf4735aacf2c810c","2025-11-25T18:23:02.101000","2025-11-25T18:23:02.101000","anonymous","anonymous","false"
"Workshop","Essential Marketing and Comms For Careers Services
","September 2025","8","","true","6925f41bee2d71b1669f4fa5","2025-11-25T18:23:23.554000","2025-11-25T18:23:23.554000","anonymous","anonymous","false"
"Webinar","International Education: Routes into Teaching for International Students and Teaching Abroad for Trainee Teachers
","September 2025","9","","true","6925f42fc45d20c67b9c6133","2025-11-25T18:23:43.527000","2025-11-25T18:23:43.527000","anonymous","anonymous","false"
"Workshop","Storytelling Through Qualitative Data Analysis
","September 2025","10","","true","6925f445d16ca6f72a6cc6a1","2025-11-25T18:24:05.208000","2025-11-25T18:24:05.208000","anonymous","anonymous","false"
"Networking","Linking Lives: Building a connected and supportive EDI network
","September 2025","11","","true","6925f45eb1df37d5c58df65f","2025-11-25T18:24:30.708000","2025-11-25T18:24:30.708000","anonymous","anonymous","false"
"Unpacked","Embedding Employability: Unpacked
","September 2025","12","","true","6925f473f9302dff3b00ad70","2025-11-25T18:24:51.806000","2025-11-25T18:24:51.806000","anonymous","anonymous","false"
"Training course","Introduction to Advice
","October 2025","13","","true","6925f4859af0f429577f99f7","2025-11-25T18:25:09.803000","2025-11-25T18:25:09.803000","anonymous","anonymous","false"
"Webinar","Making Career Readiness Data Work Harder: Learning from practice
","October 2025","14","","true","6925f4976dd755f5c1c17627","2025-11-25T18:25:27.047000","2025-11-25T18:25:27.047000","anonymous","anonymous","false"
"Webinar","Maximising the value of student staff for careers and employability services
","October 2025","15","","true","6925f4b5d849c82d835879dc","2025-11-25T18:25:57.143000","2025-11-25T18:25:57.143000","anonymous","anonymous","false"
"Webinar","Introduction to Psychometrics
","November 2025","16","","true","6925f4c632e117f43b7288f4","2025-11-25T18:26:14.116000","2025-11-25T18:26:14.116000","anonymous","anonymous","false"
"Networking","Linking Lives: Building a connected and supportive EDI network
","November 2025","17","","true","6925f4db96a5d3a8a3daf8c0","2025-11-25T18:26:35.017000","2025-11-25T18:26:35.017000","anonymous","anonymous","false"
"Webinar","Psychometric testing – an employer perspective
","November 2025","18","","true","6925f4ec1de5481b947fa0b0","2025-11-25T18:26:52.689000","2025-11-25T18:26:52.689000","anonymous","anonymous","false"
"Training course","Introduction to Guidance Interviewing
","November 2025","19","","true","6925f50178805a412bae11e4","2025-11-25T18:27:13.660000","2025-11-25T18:27:13.660000","anonymous","anonymous","false"
"Workshop","Engaging effectively with the Third Sector
","November 2025","20","","true","6925f515740bd2e857095456","2025-11-25T18:27:33.046000","2025-11-25T18:27:33.046000","anonymous","anonymous","false"
"Webinar","Supporting international students with psychometric testing
","November 2025","21","","true","6925f5260b0d475567ce574d","2025-11-25T18:27:50.627000","2025-11-25T18:27:50.627000","anonymous","anonymous","false"
"Webinar","Exploring the Uncovering Skills report and the current skills landscape in HE
","November 2025","22","","true","6925f539b87cd32f577154c9","2025-11-25T18:28:09.281000","2025-11-25T18:28:09.281000","anonymous","anonymous","false"
"Webinar","Supporting neurodivergent students with psychometric testing
","November 2025","23","","true","6925f54bc9bc0f6726ce16a6","2025-11-25T18:28:27.239000","2025-11-25T18:28:27.239000","anonymous","anonymous","false"
